Gender,Norwegian ,Class,Grammatical Form ,English ,
å,fotografere,,verb,"fotograferer, fotograferte, har fotografert",take photos
ei/en,fotografering,,noun,fotograferinga/fotograferingen,photography
en,fottur,,noun,"fotturen, fotturer, fotturene",hike
,fra,,prep.,,from
en,frakk,,noun,"frakken, frakker, frakkene",man’s overcoat
,framme,,adv.,"framme (with location), fram (with motion)",at destination; visible
,• Er de framme?,,,,• Are they there (at destination)?
,"• Ja, de kom fram kl. 12.",,,,"• Yes, they arrived at 12 o'clock."
ei/en,framtid,,noun,framtida/framtiden,future; future tense of verb
,Frankrike,,noun,,France
en,fransk,,adj.,"fransk, franske",French
en,fransk,,noun,fransken,French language
en,franskmann,,noun,"franskmannen, franskmenn, franskmennene",person from France
en,fred,,noun,"freden, freder, fredene",peace
,• gå i fred,,,,go in peace
,• i fred og ro,,,,in peace and quiet
,• la meg være i fred,,,,let me be in peace
en,fredag,,noun,"fredagen, fredager, fredagene",Friday
ei/en,fregne,,noun,"fregna/fregnen, fregner, fregnene",freckle
,fremdeles,,adv.,,still
et,fremmedspråk,,noun,"fremmedspråket, fremmedspråk, fremmedspråkene",foreign language
,fri,,adj.,"fritt, frie",free; time off from work
,• Jeg har fri.,,,,• I have time off.
ei/en,frihet,,noun,"friheta/friheten, friheter, frihetene",freedom
en,friidrett,,noun,friidretten,track and field
,Frigjøringsdag (8. mai),,noun,,Liberation Day (WWII)
,frilans,,adv.,,freelance
,• Jeg jobber frilans.,,,,• I work freelance.
en,frilanser,,noun,"frilanseren, frilansere, frilanserne",freelancer
et,friluftsliv,,noun,friluftslivet,outdoor life
ei/en,frimerkesamling,,noun,"-samlinga/-samlingen, -samlinger, -samlingene",stamp collection
,frisk,,adj.,"friskt, friske",healthy; fresh
,• frisk luft,,,,• fresh hair
en,frisør,,noun,"frisøren, frisører, frisørene",hairdresser
ei/en,fritid,,noun,fritida/fritiden,"free time, leisure time"
en,fritidsaktivitet,,noun,"fritidsaktiviteten, fritidsaktiviteter, fritidsaktivitetene",leisure activity
en,fritidspark,,noun,"fritidsparken, fritidsparker, fritidsparkene",amusement park
en,frokost,,noun,"frokosten, frokoster, frokostene",breakfast
ei/en,frokostblanding,,noun,"-blandinga/-blandingen, -blandinger, -blandingene","cereal, granola"
ei/en,frukt,,noun,"frukta/frukten, frukter, fruktene",fruit
,fruktbar,,adj.,"fruktbart, fruktbare",fruitful; fertile
et,frynsegode,,noun,"frynsegodet, frynsegoder, frynsegodene",fringe benefit
å,fryse,,verb,"fryser, frøs, har frosset",freeze
en,fryser,,noun,"fryseren, frysere, fryserne",freezer
en,fugl,,noun,"fuglen, fugler, fuglene",bird
,fuktig,,adj.,"fuktig, fuktige",humid
,full,,adj.,"fullt, fulle",full (room/state); drunk (person)
,• Jeg er full.,,,,• I am drunk.
ei/en,furu,,noun,"furua/furuen, furuer, furuene",pine tree
,fyldig,,adj.,"fyldig, fyldige","plump, heavy"
et,fylke,,noun,"fylket, fylker, fylkene",county in Norway
ei/en,fyll,,noun,fylla/fyllen,drunkenness
å,fylle,,verb,"fyller, fylte, har fylt",fill
,• fylle bensin,,,,• fill gasoline
,• fylle år,,,,• have a birthday
å,fyre,,verb,"fyrer, fyrte, har fyrt","light a fire, burn"
en,fysikk,,noun,fysikken,physics
en,fysioterapeut,,noun,"fysioterapeuten, fysioterapeuter, fysioterapeutene",physical therapist
,fysisk,,adj.,"fysisk, fysiske",physical therapist
,fæl,,adj./adv.,"fælt, fæle","horrible, terrible; horribly, terribly"
en,fødselsdag,,noun,"fødselsdagen, fødselsdager, fødselsdagene",birthday
en,fødselspermisjon,,noun,"-permisjonen, -permisjoner, -permisjonene",maternity leave
å,føde,,verb,"føder, fødte, har født",be born; give birth
,• Jeg er født og oppvokst i...,,,,• I was born and raised in...
,• Jeg er født 4. april 1960,,,,"• I was born April 4, 1960."
å,føle,,verb,"føler, følte, har følt",feel
,føle seg,,"verb, refl.","føler seg, følte seg, har følt seg",feel
å,følge,,verb,"følger, fulgte, har fulgt",follow; accompany
,• følge med i,,,,• follow along with
å,føne,,verb,"føner, fønte, har fønt",dry and style hair
,• føne håret,,,,• dry and style hair
,før,,prep.,,before
,• Han jogget før timen.,,,,• He jogged before class.
,før,,adv.,,before
,• Jeg har aldri gjort det før.,,,,• I have never done it before.
,før,,"conj., sub.",,before
,• Vi dro før filmen startet.,,,,• We left before the film started.
,først,,adv.,,first
,første,,"adj., ord.",,first
,• første klasse,,,,• first grade
,• første plass,,,,• first place
en,førstegenerasjon,,noun,"-generasjonen, -generasjoner, -generasjonene",first generation
,førti,,"det., quan.",,forty
,førtiende,,"adj., ord.",,fortieth
,få,,adj.,,few
å,få,,verb,"får, fikk, har fått","receive, get; may; will"
,• få brev,,,,• get letters
,• få tak i,,,,• get hold of
,• vi får se,,,,"• we'll see, maybe"
en,fårekjøtt,,noun,fårekjøttet,mutton
en,fårikål,,noun,fårikålen,lamb and cabbage dish
,,,,,
,,,,,
,,,,,
,adj.,"galt, gale",crazy; wrong,,
et,galleri,,noun,"galleriet, gallerier, galleriene",gallery
en,gammalost/gammelost,,noun,"gammelosten, gammeloster, gammelostene",aged cheese
,Gambia,,noun,,Gambia
en,gambier,,noun,"gambieren, gambiere, gambierne",person from Gambia
,gambisk,,adj.,"gambisk, gambisk",Gambian
,gammel,,adj.,"gammelt, gamle",old
,gammeldags,,adj.,"gammeldags, gammeldagse",old-fashioned
en,gang,,noun,"gangen, ganger, gangene","time, occasion; hallway"
,• en gang til,,,,• one more time
,• gang på gang,,,,• again and again
,• mange ganger,,,,• many times
,• noen ganger,,,,• sometimes
,• to ganger i året,,,,• twice a year
,ganske,,adv.,,quite
en,garasje,,noun,"garasjen, garasjer, garasjene",garage
ei/en,gardin,,noun,"gardina/gardinen, gardiner, gardinene",curtain
en,gass,,noun,"gassen, gasser, gassene",natural gas
ei/en,gassutvinning,,noun,"-utvinninga/-utvinningen, -utvinninger, -utvinningene",natural gas extraction
ei/en,gate,,noun,"gata/gaten, gater, gatene",street
et,gatekjøkken,,noun,"gatekjøkkenet, gatekjøkkener, gatekjøkkenene",fast food restaurant
ei/en,gave,,noun,"gava/gaven, gaver, gavene","present, gift"
ei/en,geit,,noun,"geita/geiten, geiter, geitene",goat
en,geitost,,noun,"geitosten, geitoster, geitostene",goat cheese
en,gelé,,noun,"geléen, geléer, geléene",jello
,• gelé med vaniljesaus,,,,• jello with vanilla sauce
en,generasjon,,noun,"generasjonen, generasjoner, generasjonene",generation
en,genser,,noun,"genseren, gensere, genserne",sweater
en,geografi,,noun,geografien,geography
,Ghana,,noun,,Ghana
en,ghaneser,,noun,"ghaneseren, ghanesere, ghaneserne",Ghanian
,ghanesisk,,adj.,"ghanesisk, ghanesiske",Ghanian
å,gi,,verb,"gir, ga, har gitt",give
å,gi seg,,"verb, refl.","gir seg, ga seg, har gitt seg",give up
,gift,,adj.,"gift, gifte",married
å,gifte seg,,verb,"gifter seg, giftet seg, har giftet seg",get married
,• gifte seg med,,,,• get married to
en,gitar,,noun,"gitaren, gitarer, gitarene",guitar
ei/en,gjeld,,noun,"gjelda/gjelden, gjelder, gjeldene",debt
å,gjelde,,verb,"gjelder, gjaldt, har gjeldt","pertain to, concern"
,gjennom,,prep.,,through
et,gjennomsnitt,,noun,gjennomsnittet,average
,gjensidig,,adj.,"gjensidig, gjensidige",mutual
en,gjenstand,,noun,"gjenstanden, gjenstander, gjenstandene","object, thing"
å,gjenta,,verb,"gjentar, gjentok, har gjentatt",repeat
et,gjerde,,noun,"gjerdet, gjerder, gjerdene",fence
,gjerne,,adv.,,gladly
en,gjest,,noun,"gjesten, gjester, gjestene",guest
å,gjøre,,verb,"gjør, gjorde, har gjort",do
,• gjøre feil,,,,• make mistakes
,• gjøre husarbeid,,,,• do housework
,• gjøre karriere,,,,• have a career
,• gjøre lekser,,,,• do homework
,• gjøre oppgaver,,,,• do homework/exercises
,• gjøre rent,,,,• clean up the house
,glad,,adj.,"glad, glade",happy
et,glass,,noun,"glasset, glass, glassene",glass
,• et glass melk,,,,• a glass of milk
,• et glass vann,,,,• a glass of water
et,glassmaleri,,noun,"glassmaleriet, glassmalerier, glassmaleriene",stained glass window
,glatt,,adj.,"glatt, glatte",slippery
å,glede,,verb,"gleder, gledet, har gledet","delight, please"
,• glede seg over,,,,"• be happy about, enjoy"
,• glede seg til,,,,• look forward to
å,glemme,,verb,"glemmer, glemte, har glemt",forget
,god,,adj.,"godt, gode",good
,• God bedring!,,,,• Get well soon!
,• God dag!,,,,• Hello!
,• God ferie!,,,,• Have a good vacation!
,• God helg!,,,,• Have a good weekend!
,• God idé!,,,,• Good idea!
,• God jul!,,,,• Merry Christmas!
,• God påske!,,,,• Happy Easter!
,• God sommer!,,,,• Have a good summer!
,• God tur!,,,,• Have a good trip!
,• Godt nyttår!,,,,• Happy New Year!
et,gode,,noun,"godet, goder, godene","benefit, blessing"
et,godteri,,noun,"godteriet, godterier, godteriene",candy
en,golf,,noun,"golfen, golfer, golfene",golf
en,golfbane,,noun,"golfbanen, golfbaner, golfbanene",golf course
ei/en,golfkølle,,noun,"golfkølla/golfkøllen, golfkøller, golfkøllene",golf club
et,golv,,noun,"golvet, golv, golvene",floor
en,grad,,noun,"graden, grader, gradene",degree
en,grafisk designer,,noun,"-designeren, -designere, -designerne",graphic designer
en,grammatikk,,noun,"grammatikken, grammatikker, grammatikkene",grammar
en,grandonkel,,noun,"grandonkelen, grandonkler, grandonklene",great uncle
ei/en,grandtante,,noun,"grandtanta/grandtanten, grandtanter, grandtantene",great aunt
en,granitt,,noun,granitten,granite
ei/en,grapefrukt,,noun,"grapefrukta/grapefrukten, grapefrukter, grapefruktene",grapefruit
,gratis,,adj.,"gratis, gratis",free
,• gratis adgang,,,,• free admittance
å,gratulere,,verb,"gratulerer, gratulerte, har gratulert",congratulate
,• Gratulerer med dagen!,,,,• Happy Birthday!
,• Gratulerer med dagen!,,,,• Happy 17th of May!
,gravid,,adj.,"gravid, gravide",pregnant
å,gre,,verb,"grer, gredde, har gredd",comb
,• gre håret,,,,• comb hair
,grei,,adj.,"greit, greie",okay; clear; easy-going
,• Det er greit.,,,,• It's fine. It's okay.
å,greie,,verb,"greier, greide, har greid",manage
ei/en,grense,,noun,"grensa/grensen, grenser, grensene",border
,• Leger uten grenser,,,,• Doctors without borders
,• sette grenser,,,,• set limits
et,gress,,noun,"gresset, gress, gressene",grass
,gretten,,noun,"adj., grettent, gretne",grouchy
en,grill,,noun,"grillen, griller, grillene",grill
å,grille,,verb,"griller, grillet, har grillet","grill, barbecue"
en,grillfest,,noun,"grillfesten, grillfester, grillfestene",barbecue party
å,gripe,,verb,"griper, grep, har grepet","grip, grab hold of"
en,gris,,noun,"grisen, griser, grisene",pig
et,grovbrød,,noun,"grovbrødet, grovbrød, grovbrødene",whole grain bread
en,grunn,,noun,"grunnen, grunner, grunnene",reason
et,grunnfag,,noun,"grunnfaget, grunnfag, grunnfagene",minor subject in old Norwegian university system
en,grunnlov,,noun,"grunnloven, grunnlover, grunnlovene",constitution
en,Grunnlovsdag (17. mai),,noun,Grunnlovsdagen,"Constitution Day, May 17th"
et,grunntall,,noun,"grunntallet, grunntall, grunntallene",cardinal numbers
ei/en,gruppe,,noun,"gruppa/gruppen, grupper, gruppene",group
,grønn,,adj.,"grønt, grønne",green
ei/en,grønnsak,,noun,"grønnsaka/grønnsaken, grønnsaker, grønnsakene",vegetable
,grå,,adj.,"grått, grå/gråe",grey
et,gråvær,,noun,"gråværet, gråvær, gråværene",grey or cloudy weather
en,gud,,noun,"guden, guder, gudene","god, deity"
,Gud,,noun,,God
ei/en,gudinne,,noun,"gudinna/gudinnen, gudinner, gudinnene",goddess
en,gudstjeneste,,noun,"gudstjenesten, gudstjenester, gudstjenestene",church service
en,guide,,noun,"guiden, guider, guidene",tour guide
,gul,,adj.,"gult, gule",yellow
ei/en,gullsmedforretning,,noun,"-forretninga/-forretningen, -forretninger, -forretningene",jewelry store
en,gulost,,noun,"gulosten, guloster, gulostene",yellow cheese
ei/en,gulrot,,noun,"gulrota/roten, gulrøtter, gulrøttene",carrot
et,gulv,,noun,"gulvet, gulv, gulvene",floor
en,gummistøvel,,noun,"gummistøvelen, gummistøvler, gummistøvlene",rubber boot
en,gutt,,noun,"gutten, gutter, guttene",boy
,gyldig,,adj.,"gyldig, gyldige",valid
en,gym,,noun,gymmen,gym class
en,gyngestol,,noun,"gyngestolen, gyngestoler, gyngestolene",rocking chair
,gøy,,adj.,"gøy, gøye",fun; amusing
,gøy,,noun,,fun
,• gjøre noe gøy,,,,• do something fun
å,gå,,verb,"går, gikk, har gått",go; walk
,• gå i banken,,,,• go to the bank
,• gå i begravelse,,,,• go to a funeral
,• gå i bokhandelen,,,,• go to the bookstore
,• gå i butikken,,,,• go to the store
,• gå i butikker,,,,• go shopping
,• gå i fjellet,,,,• go hiking in the mountains
,• gå i kirka,,,,• go to church
,• gå på bakeriet,,,,• go to the bakery
,• gå på bar,,,,• go to a bar
,• gå på besøk,,,,• go on a visit
,• gå på biblioteket,,,,• go to the library
,• gå på bretur,,,,• go on a glacier hike
,• gå på byen,,,,• go out on the town
,• gå på dans,,,,• go to a dance
,• gå på diskotek,,,,• go the disco
,• gå på do,,,,• go to the bathroom
,• gå på fest,,,,• go to a party
,• gå på forelesning,,,,• attend a lecture
,• gå på fotballkamp,,,,• go to a soccer game
,• gå på fottur,,,,• go for a hike
,• gå på idrettsarrangement,,,,• go to an athletic/sports event
,• gå på jakt,,,,• go hunting
,• gå på kafé,,,,• go to a cafe
,• gå på kino,,,,• go to the movies
,• gå på konsert,,,,• go to a concert
,• gå på kunstutstilling,,,,• go to an art exhibition
,• gå på museum,,,,• go to a museum
,• gå på musikal,,,,• go to a musical
,• gå på møte,,,,• go to a meeting
,• gå på nattklubb,,,,• go to a night club
,• gå på opera,,,,• go to an opera
,• gå på pub,,,,• go to a pub
,• gå på restaurant,,,,• go to a restaurant
,• gå på ski,,,,• go cross-country skiing
,• gå på skøyter,,,,• go skating
,• gå på spasertur,,,,"• go on a walk, stroll"
,• gå på teater,,,,• go to the theater
,• gå på toalettet,,,,• go to the bathroom
,• gå på tur,,,,"• go for a hike, walk"
,• gå til legen,,,,• go to the doctor
,• gå til timen,,,,• go to class
,• gå tur,,,,• go for a walk
en,gård,,noun,"gården, gårder, gårdene",farm
en,gårdbruker,,noun,"gårdbrukeren, gårdbrukere, gårdbrukerne",farmer
,,,,,
,,,,,
,,,,,
ha,,verb,"har, hadde, har hatt",have,
,• ha et problem,,,,• have a problem
,• ha det bra,,,,• goodbye
,• ha det gøy,,,,• have fun
,• ha det hyggelig,,,,• have a nice time
,• ha det morsomt,,,,• have fun
,• ha det så lenge,,,,• goodbye for now
,• ha det travelt,,,,• be busy
,• ha det,,,,• goodbye
,• ha dårlig/god tid,,,,• have little/a lot of time
,• ha feber,,,,• have a fever
,• ha lov til,,,,• have permission to
,• ha lyst til,,,,• have desire to
,• ha mye ansvar,,,,• have much responsibility
,• ha råd til,,,,• be able to afford
,• ha vondt i,,,,• have pain in
en,hage,,noun,"hagen, hager, hagene",yard; garden
et,hagearbeid,,noun,hagearbeidet,garden work
et,hagestell,,noun,hagestellet,garden work
,hallo,,interj.,,hello
en,hals,,noun,"halsen, halser, halsene",throat
,halv,,adj.,"halvt, halve",half
en,halvbror,,noun,"halvbroren, halvbrødre, halvbrødrene",half-brother
ei/en,halvsøster,,noun,"halvsøstera/halvsøsteren, halvsøstre, halvsøstrene",half-sister
en,halvtime,,noun,"halvtimen, halvtimer, halvtimene",half hour
ei/en,halvøy,,noun,"halvøya/halvøyen, halvøyer, halvøyene",peninsula
et,halvår,,noun,"halvåret, halvår, halvårene","half year, semester"
,ham,,"pron., obj.",,him
,• Randi snakker med ham.,,,,• Randi talks to him.
en,hamburger,,noun,"hamburgeren, hamburgere, hamburgerne",hamburger
en,hammer,,noun,"hammeren, hammere, hammerne",hammer
,han,,"pron., sub.",,he
,• Han er norsk.,,,,• He is Norwegian.
en,handel,,noun,"handelen, handler, handlene",trade
å,handle,,verb,"handler, handlet, har handlet",shop
,hans,,"det., poss.","hans, hans, hans",his
en,hanske,,noun,"hansken, hansker, hanskene",glove
en,hardangersøm,,noun,hardangersømmen,Hardanger embroidery
å,hate,,verb,"hater, hatet, har hatet",hate
et,hav,,noun,"havet, hav, havene",ocean
ei/en,havn,,noun,"havna/havnen, havner, havnene",harbor
en,havregrøt,,noun,"havregrøten, havregrøter, havregrøtene",oatmeal
å,heade,,verb,"header, headet, har headet",head a soccer ball
,hebraisk,,adj.,"hebraisk, hebraiske",Hebrew
en,hebraisk,,noun,hebraisken,Hebrew language
,hei,,interj.,,hi
,heia,,interj.,,"come on, let's go (sports cheer)"
å,heie,,verb,"heier, heiet, har heiet",cheer
å,heise,,verb,"heiser, heiste, har heist","hoist, raise"
en,hekk,,noun,"hekken, hekker, hekkene",hedge
ei/en,hekling,,noun,"heklinga/heklingen, heklinger, heklingene",crocheting
,hel,,adj.,"helt, hele","whole, all"
,• hele dagen,,,,"• all day, the whole day"
,• hele tida,,,,"• all the time, the whole time"
,• hele verden,,,,• the whole world
,• hele året,,,,"• all year, the whole year"
,heldig,,adj.,"heldig, heldige",lucky
en,heldiggris,,noun,"heldiggrisen, heldiggriser, heldiggrisene",lucky duck (lit. lucky pig)
,heldigvis,,adv.,,"fortunately, luckily"
ei/en,helg,,noun,"helga/helgen, helger, helgene",weekend
,heller,,"adv., comp.",,"rather; either, neither"
,• Ikke jeg heller!,,,,• Me neither!
ei/en,helleristning,,noun,"-ristninga/-ristningen, -ristninger, -ristningene",prehistoric rock carving
,hellig,,adj.,"hellig, hellige",holy
en,helligdag,,noun,"helligdagen, helligdager, helligdagene",holiday
ei/en,helse,,noun,"helsa/helsen, helser, helsene",health
ei/en,helseforsikring,,noun,"helseforsikringa/-en, helseforsikringer, helseforsikringene",health insurance
ei/en,helsepleie,,noun,helsepleia/helsepleien,health care
et,helsestudio,,noun,"helsestudioet, helsestudioer, helsestudioene",health club
ei/en,helseutgift,,noun,"helseutgifta/helseutgiften, helseutgifter, helseutgiftene",health expense
et,helsevesen,,noun,helsevesenet,health care industry
,helst,,"adv., sup.",,most preferably
en,helt,,noun,"helten, helter, heltene",hero
ei/en,heltid,,noun,heltida/-tiden,full-time
å,henge,,verb,"henger, hang, har hengt",hang (out)
,henne,,"pron., obj.",,her
,• Vi forstår henne.,,,,• We understand her.
,hennes,,"det., poss.","hennes, hennes, hennes",her
,• Vi liker faren hennes.,,,,• We like her father.
å,hente,,verb,"henter, hentet, har hentet","pick up, fetch"
,her,,adv.,her (with location) / hit (with motion),here
,• Jeg er her.,,,,• I am here.
,• Han kommer hit.,,,,• He is coming here.
,herfra,,adv.,,from here
,herlig,,adj./adv.,"herlig, herlige","wonderful, glorious; wonderfully"
en,herre,,noun,"herren, herrer, herrene",gentleman
,herreklær,,"noun, pl.",herreklærne,men's clothing
en,hest,,noun,"hesten, hester, hestene",horse
en,hestehale,,noun,"hestehalen, hestehaler, hestehalene",ponytail
å,hete,,verb,"heter, het, har hett","be called, named"
ei/en,hette,,noun,"hetta/hetten, hetter, hettene",hood
en,hettegenser,,noun,"hettegenseren, hettegensere, hettegenserne",hooded sweatshirt
en,hevn,,noun,"hevnen, hevner, hevnene",revenge
å,hilse,,verb,"hilser, hilste, har hilst",greet
en,hilsen,,noun,"hilsenen, hilsener, hilsenene",greeting
,• med vennlig hilsen,,,,• with friendly greetings
en,hindi,,noun,hindien,Hindu language
ei/en,historie,,noun,"historia/historien, historier, historiene",history; a story
,historisk,,adj.,"historisk, historiske",historical
,hit,,adv.,"her (with location), hit (with motion)",here
ei/en,hjelp,,noun,"hjelpa/hjelpen, hjelper, hjelpene",help
å,hjelpe,,verb,"hjelper, hjalp, har hjulpet",help
en,hjelpelærer,,noun,"hjelpelæreren, hjelpelærere, hjelpelærerne",teaching assistant
en,hjelpepleier,,noun,"hjelpepleieren, hjelpepleiere, hjelpepleierne",nursing assistant
et,hjem,,noun,"hjemmet, hjem, hjemmene",home
,hjemme,,adv.,"hjemme (with location), hjem (with motion)",at home; home
,• Jeg er hjemme.,,,,• I am at home.
,• Jeg drar hjem.,,,,• I am going home.
,hjemmelaget,,adj.,"hjemmelaget, hjemmelaget/hjemmelagede",homemade
en,hjemmeseier,,noun,"hjemmeseieren, hjemmeseiere, hjemmeseierne",home victory
,hjemmeværende,,adj.,"hjemmeværende, hjemmeværende",not working outside of the home
et,hjemsted,,noun,"hjemstedet, hjemsteder, hjemstedene","home town, area"
et,hjerte,,noun,"hjertet, hjerter, hjertene",heart
en,hjertesykdom,,noun,"hjertesykdommen, hjertesykdommer, hjertesykdommene",heart disease
et,hjørne,,noun,"hjørnet, hjørner, hjørnene",corner
en,hobby,,noun,"hobbyen, hobbyer, hobbyene",hobby
et,hobbyrom,,noun,"hobbyrommet, hobbyrom, hobbyrommene",hobby room
et,hode,,noun,"hodet, hoder, hodene",head
ei/en,hodepine,,noun,"hodepina/hodepinen, hodepiner, hodepinene",headache
ei/en,hofte,,noun,"hofta/hoften, hofter, hoftene",hip
å,holde,,verb,"holder, holdt, har holdt","hold, keep"
,• holde åpent,,,,• be open
en,holdeplass,,noun,"holdeplassen, holdeplasser, holdeplassene",bus/tram/metro stop
å,hoppe,,verb,"hopper, hoppet, har hoppet","jump, hop"
,• hoppe over,,,,• skip
,hos,,prep.,,"at, at someone’s home; with"
,• hos meg,,,,• at my house
å,hoste,,verb,"hoster, hostet, har hostet",cough
ei/en,hostesaft,,noun,hostesafta/hostesaften,cough syrup
et,hotell,,noun,"hotellet, hoteller, hotellene",hotel
en,hovedrett,,noun,"hovedretten, hovedretter, hovedrettene",main dish
en,hovedstad,,noun,"hovedstaden, hovedsteder, hovedstedene",capital city
et,hull,,noun,"hullet, hull, hullene",hole
,humaniora,,"noun, pl.",,humanities
en,hummer,,noun,"hummeren, hummere, hummerne",lobster
et,humør,,noun,humøret,mood; temperament
,hun,,"pron., sub.",,she
,• Hun bor her.,,,,• She lives here.
en,hund,,noun,"hunden, hunder, hundene",dog
,hundre,,"det., quan.",,hundred
,hundrede,,"adj., ord.",,hundredth
en,hundrelapp,,noun,"hundrelappen, hundrelapper, hundrelappene",100-crown bill
,Hurtigruten/Hurtigruta,,noun,,the Coastal Steamer
et,hus,,noun,"huset, hus, husene",house
et,husarbeid,,noun,husarbeidet,housework
et,husdyr,,noun,"husdyret, husdyr, husdyrene","house pet, domestic animal"
å,huske,,verb,"husker, husket, har husket",remember
ei/en,husleie,,noun,"husleia/husleien, husleier, husleiene",rent
,hva,,interr.,,what
,• Hva betyr det?,,,,• What does that mean?
,hva slags,,interr.,,what kind
,• Hva slags mat liker du?,,,,• What kind of food do you like?
en,hvalbiff,,noun,"hvalbiffen, hvalbiffer, hvalbiffene","whale meat, whale fillet"
,hvem,,interr.,,who
,• Hvem ringer til deg?,,,,• Who is calling you?
,hver,,adj.,hvert,"each, every"
,• hver dag,,,,every day
,• hver gang,,,,every time
,hverandre,,pron.,,each other
en,hverdag,,noun,"hverdagen, hverdager, hverdagene","weekday, working day"
et,hverdagsliv,,noun,"hverdagslivet, hverdagsliv, hverdagslivene",everyday life
en,hvete,,noun,hveten,wheat
et,hvetemel,,noun,hvetemelet,flour
,hvilken,,interr.,"hvilket, hvilke",which
,• Hvilken bok liker du?,,,,• Which book do you like?
,• Hvilken dag er det?,,,,• Which day is it?
,• Hvilket hus er ditt?,,,,• Which house is yours?
,• Hvilke hunder er hans?,,,,• Which dogs are his?
,hvis,,"conj., sub.",,if
,hvit,,adj.,"hvitt, hvite",white
,hvor,,interr.,,where
,• Hvor bor du?,,,,• Where do you live?
,hvor ...,,interr.,,how ...
,• Hvor gammel er du?,,,,• How old are you?
,• Hvor langt er det?,,,,• How far is it?
,• Hvor lenge varer filmen?,,,,• How long does the film last?
,• Hvor mange biler har du?,,,,• How many cars do you have?
,• Hvor mye vin vil du ha?,,,,• How much wine do you want?
,• Hvor ofte jogger du?,,,,• How often do you jog?
,hvordan,,interr.,,how
,• Hvordan har du det?,,,,• How are you?
,hvorfor,,interr.,,why
,• Hvorfor kan du ikke reise?,,,,• Why can't you travel?
en,hybel,,noun,"hybelen, hybler, hyblene",rented room
,hyggelig,,adj.,"hyggelig, hyggelige","nice, pleasant"
å,hyle,,verb,"hyler, hylte, har hylt","shriek, yell"
ei/en,hylle,,noun,"hylla/hyllen, hyller, hyllene",shelf
ei/en,hytte,,noun,"hytta/hytten, hytter, hyttene",cabin
ei/en,hyttebok,,noun,"hytteboka/hytteboken, hyttebøker, hyttebøkene",cabin guestbook
et,hytteliv,,noun,hyttelivet,cabin life
en,hyttetur,,noun,"hytteturen, hytteturer, hytteturene",cabin trip
,høflig,,adj./adj.,"høflig, høflige",polite; politely
å,høre,,verb,"hører, hørte, har hørt",hear or listen
å,høres...ut,,verb,"høres, hørtes, har høres",sound...
en,høst,,noun,"høsten, høster, høstene","fall, autumn"
,høy,,adj.,"høyt, høye","tall, high"
et,høy,,noun,"høyet, høy, høyene",hay
en,høyde,,noun,"høyden, høyder, høydene","height, altitude; hill"
,høyhælte sko,,"noun, pl.",,high-heeled shoes
,høyre,,adj.,"høyre, høyre",right
,• på høyre side,,,,• on the right side
,høyre,,adv.,,right
,• ta til høyre,,,,• turn right
en,høyskole,,noun,"høyskolen, høyskoler, høyskolene",college
,høytidelig,,adj.,"høytidelig, høytidelige","solemn, serious, dignified"
ei/en,hånd,,noun,"hånda/hånden, hender, hendene",hand
et,håndarbeid,,noun,"håndarbeidet, håndarbeider, håndarbeidene","handwork (sewing, knitting, etc.)"
en,håndbagasje,,noun,håndbagasjen,carry-on luggage
en,håndball,,noun,"håndballen, håndballer, håndballene",handball
et,håndkle,,noun,"håndkleet, håndklær, håndklærne",towel
et,håndverk,,noun,"håndverket, håndverk, håndverkene",craft
en,håndverker,,noun,"håndverkeren, håndverkere, håndverkerne",craftsperson
å,håpe,,verb,"håper, håpet, har håpet",hope
,håpløs,,adj.,"håpløst, håpløse",hopeless
et,hår,,noun,"håret, hår, hårene",hair
,,,,,
,,,,,
,,,,,
,prep.,,in,,
,• i dag,,,,• today
,• i fjor,,,,• last year
,• i dårlig/godt humør,,,,• in a bad/good mood
,• i går,,,,• yesterday
,• i helga,,,,• this weekend; last weekend
,• i høst,,,,• this fall
,• i kveld,,,,• tonight
,• i morgen,,,,• tomorrow
,• i morges,,,,• this morning
,• i natt,,,,"• tonight (during night);
last night (during night)"
,• i sommer,,,,• this summer
,• i slutten av,,,,• at the end of
,• i tillegg,,,,• in addition
,• i vinter,,,,• this winter
,• i vår,,,,• this spring
,• i år,,,,• this year
en,idé,,noun,"idéen, idéer, idéene",idea
ei/en,idéhistorie,,noun,idéhistoria/idéhistorien,history of ideas
en,idrett,,noun,"idretten, idretter, idrettene",sport
ei/en,idrettsbygning,,noun,"-bygninga/-bygningen, bygninger, bygningene",athletic building
en,idrettshall,,noun,"idrettshallen, idrettshaller, idrettshallene",athletic hall
et,idrettslag,,noun,"idrettslaget, idrettslag, idrettslagene",athletic team
en,idrettsutøver,,noun,"idrettsutøveren, idrettsutøvere, idrettsutøverne",athlete
,idyllisk,,adj.,"idyllisk, idylliske",idyllic
,igjen,,adv.,,again
,ikke,,adv.,,not
,• Han spiller ikke fotball.,,,,• He doesn't play soccer.
,"• Hun er norsk, ikke sant?",,,,"• She is Norwegian, isn't she?"
,ille,,adj./adv.,"ille, ille",bad; badly
en,inder,,noun,"inderen, indere, inderne",person from India
,India,,noun,,India
,indisk,,adj.,"indisk, indiske",Indian
en,industri,,noun,"industrien, industrier, industriene",industry
ei/en,industrinæring,,noun,"-næringa/-næringen, -næringer, -næringene",industry
